Article_ID,Article_ID2,Country,Disease_name,Disease_name2,Disease,PMID,First Author,Publication Year,DOI,Combining Authoryear (withformula),Authoryear,Ncases,Ncontrol,total,genus,Genus_mean_RA_disease,Genus_mean_RA_control,foldchange(calculation),foldchange,pvalue,,logEffectSize,logStandardError,logStandardDeviation,logLLCI,logULCI,EffectSize,LLCI,ULCI,,,,,Age_disease,Age_control,Sequencing_type,16s_sequencing_region,Genus(original_,Genus_clean (original,Genus_classified,Genus_RA_in_disease,Genus_>1_studies(cancer_or_autoimmune),Genus_increased_HowMany_Cancer_study,Genus_decreased_HowMany_Cancer_study,Genus_increased_HowMany_Autoimmune_study,Genus_decreased_HowMany_Autoimmune_study,Genus_statistical_test,Genus_mean_RA_disease(original),Genus_mean_RA_control (original),Genus_effect_type,Genus_effect_type_quanititative_value,Genus_quantitative_data_source_in_paper,Genus_Pvalue(original)
,Article_0116,Spain,T1D,T1D,Autoimmune,30224347,Leiva-Gea I,2018,10.2337/dc18-0253,"Leiva-Gea I, 2018","Leiva-Gea I, 2018",15,13,28,Blautia,0.155000,0.03740,4.144385027,4.1444,0.00300000000000000,87,1.421758025,0.47820333,2.530414175,0.484496721,2.35901933,4.1444,1.623357801,10.58057031,,,,,12.56 ± 3.59 years,12.25 ± 2.92 years,16s,v2-v3,Blautia,Blautia,yes,increased,yes,1,1,5,1,Wilcoxon rank test (FDR corrected p value),15.50%,3.74%,not given,not given,text,0.003000
,Article_0116,Spain,T1D,T1D,Autoimmune,30224347,Leiva-Gea I,2018,10.2337/dc18-0253,"Leiva-Gea I, 2018","Leiva-Gea I, 2018",15,13,28,Veillonella,0.215900,0.07200,2.998611111,2.9986,0.00600000000000000,88,1.098145513,0.399419947,2.113531696,0.315296803,1.880994224,2.9986,1.370666068,6.560023751,,,,,12.56 ± 3.59 years,12.25 ± 2.92 years,16s,v2-v3,Veillonella,Veillonella,yes,increased,yes,3,1,3,0,Wilcoxon rank test (FDR corrected p value),21.59%,7.20%,not given,not given,text,0.006000
,Article_0116,Spain,T1D,T1D,Autoimmune,30224347,Leiva-Gea I,2018,10.2337/dc18-0253,"Leiva-Gea I, 2018","Leiva-Gea I, 2018",15,13,28,Streptococcus,0.048600,0.01470,3.306122449,3.3061,0.02800000000000000,89,1.195769247,0.545038697,2.884073694,0.127513031,2.264025463,3.3061,1.135999671,9.621743287,,,,,12.56 ± 3.59 years,12.25 ± 2.92 years,16s,v2-v3,Streptococcus,Streptococcus,yes,increased,yes,4,1,6,1,Wilcoxon rank test (FDR corrected p value),4.86%,1.47%,not given,not given,text,0.028000
,Article_0116,Spain,T1D,T1D,Autoimmune,30224347,Leiva-Gea I,2018,10.2337/dc18-0253,"Leiva-Gea I, 2018","Leiva-Gea I, 2018",15,13,28,Lachnospira,0.053400,0.15250,0.350163934,0.3502,0.01200000000000000,90,-1.049250859,0.417901248,2.211325552,-1.868322255,-0.230179463,0.3502,0.154382459,0.794391026,,,,,12.56 ± 3.59 years,12.25 ± 2.92 years,16s,v2-v3,Lachnospira,Lachnospira,yes,decreased,yes,1,3,1,3,Wilcoxon rank test (FDR corrected p value),5.34%,15.25%,not given,not given,text,0.012000
,Article_0116,Spain,T1D,T1D,Autoimmune,30224347,Leiva-Gea I,2018,10.2337/dc18-0253,"Leiva-Gea I, 2018","Leiva-Gea I, 2018",15,13,28,Roseburia,0.013500,0.06990,0.193133047,0.1931,0.01500000000000000,91,-1.64454709,0.676691079,3.580712617,-2.970837232,-0.318256947,0.1931,0.051260376,0.727415857,,,,,12.56 ± 3.59 years,12.25 ± 2.92 years,16s,v2-v3,Roseburia,Roseburia,yes,decreased,yes,2,5,1,5,Wilcoxon rank test (FDR corrected p value),1.35%,6.99%,not given,not given,text,0.015000
,Article_0116,Spain,T1D,T1D,Autoimmune,30224347,Leiva-Gea I,2018,10.2337/dc18-0253,"Leiva-Gea I, 2018","Leiva-Gea I, 2018",15,13,28,Anaerostipes ,0.021500,0.05790,0.371329879,0.3713,0.02300000000000000,92,-0.990744918,0.436387318,2.309144639,-1.846048345,-0.135441491,0.3713,0.157859743,0.87333026,,,,,12.56 ± 3.59 years,12.25 ± 2.92 years,16s,v2-v3,Anaerostipes ,Anaerostipes ,yes,decreased,yes,2,4,0,5,Wilcoxon rank test (FDR corrected p value),2.15%,5.79%,not given,not given,text,0.023000
,Article_0116,Spain,T1D,T1D,Autoimmune,30224347,Leiva-Gea I,2018,10.2337/dc18-0253,"Leiva-Gea I, 2018","Leiva-Gea I, 2018",15,13,28,Faecalibacterium,0.042100,0.13260,0.317496229,0.3175,0.00400000000000000,93,-1.147277461,0.398101196,2.106553523,-1.927541467,-0.367013454,0.3175,0.145505489,0.692800324,,,,,12.56 ± 3.59 years,12.25 ± 2.92 years,16s,v2-v3,Faecalibacterium,Faecalibacterium,yes,decreased,yes,1,5,2,7,Wilcoxon rank test (FDR corrected p value),4.21%,13.26%,not given,not given,text,0.004000
,Article_0116,Spain,T1D,T1D,Autoimmune,30224347,Leiva-Gea I,2018,10.2337/dc18-0253,"Leiva-Gea I, 2018","Leiva-Gea I, 2018",15,13,28,Bifidobacterium ,0.019300,0.06750,0.285925926,0.2859,0.01700000000000000,94,-1.25211318,0.525158162,2.778875789,-2.281404263,-0.222822097,0.2859,0.102140674,0.800257205,,,,,12.56 ± 3.59 years,12.25 ± 2.92 years,16s,v2-v3,Bifidobacterium ,Bifidobacterium ,yes,decreased,yes,2,4,2,2,Wilcoxon rank test (FDR corrected p value),1.93%,6.75%,not given,not given,text,0.017000
,Article_0116,Spain,T1D,T1D,Autoimmune,30224347,Leiva-Gea I,2018,10.2337/dc18-0253,"Leiva-Gea I, 2018","Leiva-Gea I, 2018",15,13,28,Sutterella,0.613000,0.57070,1.074119502,1.0741,0.02700000000000000,95,0.071483102,0.032371843,0.171295691,0.008035456,0.134930748,1.0741,1.008067827,1.144457525,,,,,12.56 ± 3.59 years,12.25 ± 2.92 years,16s,v2-v3,Sutterella,Sutterella,yes,increased,yes,1,0,2,0,Wilcoxon rank test (FDR corrected p value),61.30%,57.07%,not given,not given,text,0.027000
,Article_0116,Spain,T1D,T1D,Autoimmune,30224347,Leiva-Gea I,2018,10.2337/dc18-0253,"Leiva-Gea I, 2018","Leiva-Gea I, 2018",15,13,28,Enterobacter,0.161800,0.06990,2.314735336,2.3147,0.00300000000000000,96,0.83928009,0.282288917,1.493732546,0.286003978,1.392556201,2.3147,1.331097751,4.025125944,,,,,12.56 ± 3.59 years,12.25 ± 2.92 years,16s,v2-v3,Enterobacter,Enterobacter,yes,increased,no,0,0,1,0,Wilcoxon rank test (FDR corrected p value),16.18%,6.99%,not given,not given,text,0.003000
Article_0184,Article_0184,Poland,T1D,T1D,Autoimmune,29657308,Salamon D,2018,10.20452/pamw.4246,"Salamon D, 2018","Salamon D, 2018",22,23,45,Bacteroides,0.059600,0.05220,1.141762452,1.1418,0.02000000000000000,97,0.132605965,0.057071285,0.382845819,0.020748301,0.244463628,1.1418,1.020965044,1.276936217,,,,,36 (31–47) years,37 (31–48) years,16s,v3-v4,Bacteroides,Bacteroides,yes,increased,yes,0,6,11,1,Kruskal–Wallis test (raw p value),5.96%,5.22%,not given,not given,,0.020000
,Article_0184,Poland,T1D,T1D,Autoimmune,29657308,Salamon D,2018,10.20452/pamw.4246,"Salamon D, 2018","Salamon D, 2018",22,23,45,Ruminococcus,0.066600,0.05300,1.256603774,1.2566,0.02000000000000000,98,0.228409661,0.098303518,0.659440049,0.035738305,0.421081017,1.2566,1.036384595,1.523607711,,,,,36 (31–47) years,37 (31–48) years,16s,v3-v4,Ruminococcus,Ruminococcus,yes,increased,yes,6,3,6,1,Kruskal–Wallis test (raw p value),6.66%,5.30%,not given,not given,,0.020000
,Article_0184,Poland,T1D,T1D,Autoimmune,29657308,Salamon D,2018,10.20452/pamw.4246,"Salamon D, 2018","Salamon D, 2018",22,23,45,Anaerostipes ,0.002800,0.00340,0.823529412,0.8235,0.04900000000000000,99,-0.194191729,0.098813046,0.662858064,-0.387861741,-0.000521718,0.8235,0.678506147,0.999478418,,,,,36 (31–47) years,37 (31–48) years,16s,v3-v4,Anaerostipes,Anaerostipes ,yes,decreased,yes,2,4,0,5,Kruskal–Wallis test (raw p value),0.28%,0.34%,not given,not given,,0.049000
,Article_0184,Poland,T1D,T1D,Autoimmune,29657308,Salamon D,2018,10.20452/pamw.4246,"Salamon D, 2018","Salamon D, 2018",22,23,45,Roseburia,0.002900,0.00450,0.644444444,0.6444,0.00500000000000000,100,-0.439435628,0.156408777,1.049221971,-0.745991197,-0.132880058,0.6444,0.474263978,0.875570103,,,,,36 (31–47) years,37 (31–48) years,16s,v3-v4,Roseburia,Roseburia,yes,decreased,yes,2,5,1,5,Kruskal–Wallis test (raw p value),0.29%,0.45%,not given,not given,,0.005000
Article_0297,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,Enterobacter,0.000001,0.00003,0.029565217,0.0296,0.00000000319000000,101,-3.519980918,0.581833834,8.45162462,-4.660354277,-2.379607559,0.0296,0.009463109,0.092586905,,,,,14-71 years,23-70 years,shotgun,na,Enterobacter,Enterobacter,yes,decreased,yes,0,0,0,3,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.00000102,0.0000345,fold-change (relative abun_dise/rel.abd_health),0.029565217,additional file 1,0.000000
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,Fusobacterium,0.000015,0.00008,0.179302046,0.1793,0.00000039900000000,102,-1.718694898,0.333618761,4.846092425,-2.372575654,-1.064814142,0.1793,0.093240262,0.344791931,,,,,14-71 years,23-70 years,shotgun,na,Fusobacterium,Fusobacterium,yes,decreased,yes,13,1,2,1,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.0000149,0.0000831,fold-change (relative abun_dise/rel.abd_health),0.179302046,additional file 1,0.000000
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,Klebsiella,0.000043,0.00023,0.181598837,0.1816,0.00029621900000000,103,-1.705948813,0.468580318,6.806522284,-2.624349361,-0.787548265,0.1816,0.072486905,0.454958868,,,,,14-71 years,23-70 years,shotgun,na,Klebsiella,Klebsiella,yes,decreased,yes,5,0,4,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.0000426,0.000234583,fold-change (relative abun_dise/rel.abd_health),0.181598837,additional file 1,0.000296
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000348,0.00157,0.22149266,0.2215,0.00000000000002040,104,-1.507332689,0.191143982,2.77652671,-1.881968009,-1.13269737,0.2215,0.152290102,0.32216309,,,,,14-71 years,23-70 years,shotgun,na,genus(Lachnospiraceae_bacterium_6_1_63FAA),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.000348394,0.001572937,fold-change (relative abun_dise/rel.abd_health),0.22149266,additional file 1,0.000000
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,Odoribacter,0.001598,0.00572,0.279310735,0.2793,0.00076446400000000,105,-1.275468806,0.377353071,5.48136997,-2.015067234,-0.535870378,0.2793,0.13331144,0.585159758,,,,,14-71 years,23-70 years,shotgun,na,Odoribacter,Odoribacter,yes,decreased,yes,4,0,0,3,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.001598049,0.005721402,fold-change (relative abun_dise/rel.abd_health),0.279310735,additional file 1,0.000764
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,Butyrivibrio,0.000157,0.00051,0.308330349,0.3083,0.00000000024100000,106,-1.176681944,0.181438882,2.63555199,-1.532295617,-0.821068271,0.3083,0.216039154,0.439961405,,,,,14-71 years,23-70 years,shotgun,na,Butyrivibrio,Butyrivibrio,yes,decreased,no,0,0,0,1,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.000156683,0.000508166,fold-change (relative abun_dise/rel.abd_health),0.308330349,additional file 1,0.000000
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,Eubacterium,0.012430,0.03980,0.31235578,0.3124,0.00000000319000000,107,-1.163470861,0.192315449,2.793543262,-1.540402215,-0.786539507,0.3124,0.214294891,0.455418043,,,,,14-71 years,23-70 years,shotgun,na,Eubacterium,Eubacterium,yes,decreased,yes,6,9,2,4,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.012430252,0.039795172,fold-change (relative abun_dise/rel.abd_health),0.31235578,additional file 1,0.000000
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000245,0.00076,0.322319513,0.3223,0.00374339600000000,108,-1.13227249,0.390021834,5.665394392,-1.896701239,-0.367843741,0.3223,0.150062825,0.692225339,,,,,14-71 years,23-70 years,shotgun,na,genus(Clostridium_bartlettii_DSM_16795),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.000244753,0.000759349,fold-change (relative abun_dise/rel.abd_health),0.322319513,additional file 1,0.003743
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000046,0.00012,0.382070791,0.3821,0.00010183300000000,109,-0.962072925,0.245600627,3.567555178,-1.443441308,-0.480704541,0.3821,0.236113819,0.618347587,,,,,14-71 years,23-70 years,shotgun,na,genus(Lachnospiraceae_bacterium_9_1_43BFAA),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.0000462,0.00012092,fold-change (relative abun_dise/rel.abd_health),0.382070791,additional file 1,0.000102
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000271,0.00068,0.396522914,0.3965,0.00000000066700000,110,-0.925079238,0.146447289,2.127269755,-1.212110651,-0.638047825,0.3965,0.297568553,0.528322797,,,,,14-71 years,23-70 years,shotgun,na,genus([Bacteroides]_pectinophilus_ATCC_43243),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.000270523,0.000682238,fold-change (relative abun_dise/rel.abd_health),0.396522914,additional file 1,0.000000
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000172,0.00041,0.41559714,0.4156,0.00000090800000000,111,-0.87803202,0.176134535,2.558501901,-1.223249364,-0.532814675,0.4156,0.294272413,0.586950567,,,,,14-71 years,23-70 years,shotgun,na,genus(Lachnospiraceae_bacterium_8_1_57FAA),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.000171785,0.000413345,fold-change (relative abun_dise/rel.abd_health),0.41559714,additional file 1,0.000001
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000152,0.00036,0.420668211,0.4207,0.00010183300000000,112,-0.865835288,0.221032818,3.21068714,-1.299051651,-0.432618926,0.4207,0.272790371,0.648807689,,,,,14-71 years,23-70 years,shotgun,na,genus(Lachnospiraceae_bacterium_3_1_46FAA),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.000152337,0.000362131,fold-change (relative abun_dise/rel.abd_health),0.420668211,additional file 1,0.000102
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000019,0.00004,0.447306792,0.4473,0.00822361800000000,113,-0.804525769,0.304415691,4.421893327,-1.401169559,-0.207881978,0.4473,0.246308723,0.8123029,,,,,14-71 years,23-70 years,shotgun,na,genus(Lachnospiraceae_bacterium_4_1_37FAA),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.0000191,0.0000427,fold-change (relative abun_dise/rel.abd_health),0.447306792,additional file 1,0.008224
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000079,0.00017,0.458850793,0.4589,0.00040342000000000,114,-0.778922958,0.218955409,3.180511034,-1.208067674,-0.349778241,0.4589,0.298774051,0.704844378,,,,,14-71 years,23-70 years,shotgun,na,genus(Lachnospiraceae_bacterium_1_1_57FAA),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.0000794,0.000173041,fold-change (relative abun_dise/rel.abd_health),0.458850793,additional file 1,0.000403
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,Campylobacter,0.000093,0.00020,0.469228291,0.4692,0.00064058700000000,115,-0.756726162,0.220629989,3.204835707,-1.189152994,-0.32429933,0.4692,0.30447905,0.723033784,,,,,14-71 years,23-70 years,shotgun,na,Campylobacter,Campylobacter,yes,decreased,yes,2,1,0,1,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.0000932,0.000198624,fold-change (relative abun_dise/rel.abd_health),0.469228291,additional file 1,0.000641
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,Roseburia,0.012824,0.02394,0.535685561,0.5357,0.00319587100000000,116,-0.624180976,0.211353919,3.070093015,-1.038427046,-0.209934906,0.5357,0.354011087,0.810637012,,,,,14-71 years,23-70 years,shotgun,na,Roseburia,Roseburia,yes,decreased,yes,2,5,1,5,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.012823647,0.023938758,fold-change (relative abun_dise/rel.abd_health),0.535685561,additional file 1,0.003196
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,Enterococcus,0.000361,0.00063,0.572867284,0.5729,0.00003590000000000,117,-0.557044098,0.13349985,1.939197339,-0.818698996,-0.295389199,0.5729,0.441005031,0.744241873,,,,,14-71 years,23-70 years,shotgun,na,Enterococcus,Enterococcus,yes,decreased,yes,5,0,2,5,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.000361434,0.000630921,fold-change (relative abun_dise/rel.abd_health),0.572867284,additional file 1,0.000036
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000027,0.00005,0.574786325,0.5748,0.00329126300000000,118,-0.553733125,0.188090449,2.732171589,-0.922383631,-0.185082619,0.5748,0.39757025,0.831035622,,,,,14-71 years,23-70 years,shotgun,na,genus(Clostridiales_bacterium_OBRC5-5),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.0000269,0.0000468,fold-change (relative abun_dise/rel.abd_health),0.574786325,additional file 1,0.003291
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000099,0.00017,0.578088851,0.5781,0.00006380000000000,119,-0.548008415,0.135867212,1.973585248,-0.814303256,-0.281713573,0.5781,0.442947841,0.75448976,,,,,14-71 years,23-70 years,shotgun,na,genus(Lachnospiraceae_bacterium_5_1_57FAA),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.0000987,0.000170735,fold-change (relative abun_dise/rel.abd_health),0.578088851,additional file 1,0.000064
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000054,0.00009,0.600448934,0.6004,0.00071941000000000,120,-0.510159179,0.15016969,2.181340751,-0.804486364,-0.215831995,0.6004,0.447317626,0.805870681,,,,,14-71 years,23-70 years,shotgun,na,genus(Lachnospiraceae_bacterium_3_1_57FAA_CT1),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.0000535,0.0000891,fold-change (relative abun_dise/rel.abd_health),0.600448934,additional file 1,0.000719
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000020,0.00003,0.608024691,0.6080,0.00825571200000000,121,-0.497580397,0.188369224,2.736221025,-0.866777291,-0.128383503,0.608,0.420303886,0.879516018,,,,,14-71 years,23-70 years,shotgun,na,genus(Bryantella_formatexigens_DSM_14469),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.0000197,0.0000324,fold-change (relative abun_dise/rel.abd_health),0.608024691,additional file 1,0.008256
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,Parabacteroides,0.014759,0.02428,0.607891211,0.6079,0.00402918600000000,122,-0.497744884,0.172855747,2.510874757,-0.836535923,-0.158953846,0.6079,0.433208595,0.853035729,,,,,14-71 years,23-70 years,shotgun,na,Parabacteroides,Parabacteroides,yes,decreased,yes,4,1,2,4,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.014759105,0.024279188,fold-change (relative abun_dise/rel.abd_health),0.607891211,additional file 1,0.004029
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000131,0.00022,0.609070261,0.6091,0.04389784500000000,123,-0.495772821,0.246455623,3.579974715,-0.978816966,-0.012728676,0.6091,0.375755367,0.987351991,,,,,14-71 years,23-70 years,shotgun,na,genus(Eubacterium_dolichum_DSM_3991),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.000131131,0.000215297,fold-change (relative abun_dise/rel.abd_health),0.609070261,additional file 1,0.043898
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000013,0.00002,0.615384615,0.6154,0.00415828800000000,124,-0.485482816,0.16919355,2.457678271,-0.81709608,-0.153869552,0.6154,0.441712492,0.857383858,,,,,14-71 years,23-70 years,shotgun,na,genus(Lachnospiraceae_bacterium_2_1_46FAA),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.0000128,0.0000208,fold-change (relative abun_dise/rel.abd_health),0.615384615,additional file 1,0.004158
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.001912,0.00289,0.661057505,0.6611,0.03482260000000000,125,-0.413850165,0.196425548,2.853245901,-0.798837165,-0.028863164,0.6611,0.449851763,0.971549398,,,,,14-71 years,23-70 years,shotgun,na,genus(butyrate-producing_bacterium_SS3/4),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.00191205,0.002892411,fold-change (relative abun_dise/rel.abd_health),0.661057505,additional file 1,0.034823
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000273,0.00041,0.662508986,0.6625,0.00064058700000000,126,-0.411734721,0.120044782,1.743751177,-0.64701817,-0.176451273,0.6625,0.523604752,0.838239623,,,,,14-71 years,23-70 years,shotgun,na,genus(Clostridium_difficile_70-100-2010),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.0002728,0.000411768,fold-change (relative abun_dise/rel.abd_health),0.662508986,additional file 1,0.000641
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,Clostridium,0.006262,0.00898,0.697301966,0.6973,0.00022640500000000,127,-0.360539545,0.097131711,1.410919604,-0.550914201,-0.170164889,0.6973,0.576422604,0.843525717,,,,,14-71 years,23-70 years,shotgun,na,Clostridium,Clostridium,yes,decreased,yes,1,2,0,3,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.006262174,0.008980577,fold-change (relative abun_dise/rel.abd_health),0.697301966,additional file 1,0.000226
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000075,0.00010,0.727332757,0.7273,0.02823595000000000,128,-0.318416232,0.145354801,2.111400449,-0.603306407,-0.033526056,0.7273,0.547000038,0.967029714,,,,,14-71 years,23-70 years,shotgun,na,genus(Erysipelotrichaceae_bacterium_2_2_44A),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.0000749,0.000102979,fold-change (relative abun_dise/rel.abd_health),0.727332757,additional file 1,0.028236
,Article_0297,China,Ankylosing spondylitis,Arthritis,Autoimmune,28750650,Wen C,2017,10.1186/s13059-017-1271-6,"Wen C, 2017","Wen C, 2017",97,114,211,unclassified,0.000194,0.00024,0.825409588,0.8254,0.00825571200000000,129,-0.191887162,0.072642805,1.055197691,-0.334264443,-0.04950988,0.8254,0.715864452,0.951695755,,,,,14-71 years,23-70 years,shotgun,na,genus(Erysipelotrichaceae_bacterium_3_1_53),unclassified,no,decreased,yes,0,0,3,2,"Wilcoxon rank-sum test (FDR corrected p value), median relative abunadnce",0.000194015,0.000235053,fold-change (relative abun_dise/rel.abd_health),0.825409588,additional file 1,0.008256
